指标代码,CGB_1Y_月末值(%),r_f_月频,CSI300_TR_月末值,r_equity_A,AU9999_月末值,r_gold_A,NHCI_月末值,r_cmdty_A,CGB_10Y_月末值(%),CBOND_NEW_COMPOSITE_WEALTH_月末值,r_bond_A,CBA02201_月末值,r_cash_A
2002-01-31,2.3164,0.0019101375701524592,,,,,,,3.2186,100.8346,,,
2002-02-28,2.056,0.0016973969708133918,,,,,,,3.1315,101.5939,0.0075019432645112225,,
2002-03-31,1.875,0.0015492309513416291,,,,,,,2.8551,102.7205,0.011028213559182704,,
2002-04-30,1.9305,0.001594688708153047,,,,,,,2.5022,104.2087,0.014383911584995633,,
2002-05-31,1.8519,0.0015303040049188255,,,,,,,2.381,105.4185,0.011542523410694928,,
2002-06-30,1.7864,0.0014766152842367042,,,,,,,2.5798,104.7085,-0.006757843609321122,,
2002-07-31,1.7808,0.001472023634083497,,,,,,,2.869,103.9327,-0.007436724630195386,,
2002-08-31,1.8121,0.0014976847091838774,,,,,,,3.0595,103.0126,-0.008892263442217498,,
2002-09-30,1.6107,0.0013324417937885524,,,,,,,3.1397,103.3452,0.0032235300822928132,,
2002-10-31,2.0243,0.0016714648608273652,,,,,,,2.9978,102.8093,-0.005199025072050746,,
2002-11-30,1.6542,0.0013681576984194699,,,,,,,3.5248,102.9823,0.001681312947207027,,
2002-12-31,2.0946,0.0017289636420334542,,,,,,,3.1776,103.577,0.005758168653556535,,
2003-01-31,2.1187,0.001748666819673561,,,,,,,3.0984,103.9306,0.0034080712441739718,,
2003-02-28,1.2909,0.001069437194726186,,,,,,,3.1225,104.3218,0.0037569839305241974,,
2003-03-31,2.05,0.0016924892515723933,,,,,,,2.9228,104.772,0.004306207985960157,,
2003-04-30,2.1879,0.0018052182372128023,,,,,,,2.834,105.2485,0.004537660062789566,,
2003-05-31,2.0392,0.0016836546903549188,,,,,,,2.8717,105.5363,0.002730748885530925,,
2003-06-30,2.0458,0.0016890536907223641,,,,,,,3.0821,105.2934,-0.002304230452091604,,
2003-07-31,2.3117,0.0019063021824139437,,,,,,,2.9294,105.7852,0.004659883947809277,,
2003-08-31,2.5643,0.0021122053180178124,,,,,,,2.831,105.7848,-3.781254431108741e-06,,
2003-09-30,2.3225,0.001915115172995474,,,,,,,3.2369,104.9519,-0.007904691844528458,,
2003-10-31,2.7334,0.002249785073617616,,,,,,,3.3235,104.3326,-0.005918276868401483,,
2003-11-30,2.0039,0.0016547727828926106,,,,,,,3.933,104.2484,-0.000807360254037284,,
2003-12-31,1.9806,0.0016357040675767376,,,,,,,3.3602,105.3398,0.010414802600118287,,
2004-01-31,2.3698,0.0019537027655120998,,,108.09,,,,3.8706,104.9063,-0.004123744643208029,,
2004-02-29,2.4287,0.0020017308590902783,,,106.94,-0.010696283907526095,,,3.8105,105.522,0.005851891186061162,,
2004-03-31,2.395,0.001974254387329344,,,112.21,0.04810418615618927,,,3.9169,105.1857,-0.0031921024771397093,,
2004-04-30,2.8362,0.00233332172837164,,,104.54,-0.07080234239199898,,,4.2841,103.7836,-0.013419397402495573,,
2004-05-31,3.0515,0.002508029631106856,,,105.13,0.00562790630296365,,,4.6123,104.1039,0.0030814767934642866,,
2004-06-30,3.0914,0.0025403702356692204,,,104.71,-0.004003055288368877,1007.12,,4.348,104.0023,-0.0009764246146645458,,
2004-07-31,2.7407,0.002255719678104784,,,104.16,-0.005266445839111608,965.71,-0.04198646935597722,4.6018,104.6238,0.005958044928367086,,
2004-08-31,3.0397,0.0024984630425288756,,,108.23,0.03833041384679607,979.1,0.013770200257998954,5.1676,104.7494,0.0011997716524010313,,
2004-09-30,2.9554,0.002430089455671247,,,108.68,0.004149192251091957,997.0,0.01811698760181264,5.1266,104.6277,-0.00116249593394315,,
2004-10-31,3.2635,0.002679733075787505,,,113.2,0.04074838121093549,958.46,-0.039422940219655686,4.8246,104.8669,0.0022835920730003827,,
2004-11-30,3.0084,0.00247308239522237,,,120.5,0.06249358716162714,979.04,0.021244669972047693,5.3419,104.846,-0.0001993201187832936,,
2004-12-31,2.9202,0.002401524441372871,1000.0,,118.08,-0.020287392078547316,974.03,-0.00513039572467565,4.7332,105.7989,0.009047515512235997,,
2005-01-31,2.8151,0.0023161818315848848,954.88,-0.046169600846850456,113.32,-0.041146685889846574,969.32,-0.004847309257041738,4.8982,106.3875,0.00554796640835477,,
2005-02-28,2.7235,0.002241736156758156,1039.99,0.08538069856928823,116.45,0.027246321368034235,1036.34,0.06685575957407532,4.8334,107.3028,0.008566655553681118,,
2005-03-31,2.6001,0.002141349538452353,942.2,-0.0987488104386341,114.08,-0.02056203966436429,1074.87,0.03650444870996645,4.1203,108.1695,0.008044696921052153,,
2005-04-30,2.6853,0.0022106720531793744,932.4,-0.010455659104338743,115.2,0.00976979159580503,1055.44,-0.018241982441033616,4.0441,109.3091,0.010480207529577498,,
2005-05-31,2.4216,0.0019959427366222915,855.95,-0.08554994394081457,111.26,-0.03479994361464373,1069.56,0.013289607355104946,3.8469,109.8963,0.005357545065467679,,
2005-06-30,2.1058,0.0017381208357218902,878.69,0.026220198767862597,115.45,0.036967731153357095,1087.64,0.016762862378676434,3.653,110.9913,0.009914625989352345,,
2005-07-31,1.6115,0.001333098764513485,888.54,0.011147504288816912,111.67,-0.033289442342803656,1105.58,0.01635987281544547,3.3874,111.9497,0.008597843411209678,100.23,
2005-08-31,1.4272,0.00118162371566366,939.45,0.0557149313620647,113.4,0.01537329783595089,1093.86,-0.010657359081319758,3.5608,112.1777,0.0020345578331704608,100.44,0.002092989252609397
2005-09-30,1.3577,0.0011244365694969005,928.78,-0.011422700648759814,121.84,0.07178731729325469,1103.74,0.008991687811049103,3.2404,112.8663,0.006119711248059707,100.55,0.0010945819292767242
2005-10-31,1.426,0.0011806366164903714,884.12,-0.04927909695953041,122.41,0.004667357500514642,1108.3,0.004122896927129934,3.0613,113.3405,0.004192629882298206,100.76,0.002086335265748446
2005-11-30,1.785,0.001475467393408314,879.12,-0.005671392892572822,129.0,0.05243633827425111,1088.21,-0.0182931652847788,3.3255,112.7635,-0.005103857097082778,100.76,0.0
2005-12-31,1.7782,0.0014698917177922155,923.45,0.04919524918325181,133.55,0.034663535194297865,1167.08,0.069970758282488,3.1216,113.399,0.005619867772752799,100.83,0.0006944789207144256
